,items,support,ordered_statistics
77,"frozenset({'Slate Gray', 'Black'})",0.020100502512562814,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Slate Gray', 'Black'}), confidence=0.020100502512562814, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Slate Gray'}), confidence=0.05333333333333333, lift=0.2948148148148148), OrderedStatistic(items_base=frozenset({'Slate Gray'}), items_add=frozenset({'Black'}), confidence=0.1111111111111111, lift=0.2948148148148148)]"
78,"frozenset({'Tomato', 'Black'})",0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Tomato', 'Black'}), confidence=0.017587939698492462, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Tomato'}), confidence=0.04666666666666666, lift=1.5477777777777777), OrderedStatistic(items_base=frozenset({'Tomato'}), items_add=frozenset({'Black'}), confidence=0.5833333333333334, lift=1.5477777777777777)]"
79,"frozenset({'Black', 'Web Gray'})",0.03015075376884422,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'Web Gray'}), confidence=0.03015075376884422, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'Web Gray'}), confidence=0.07999999999999999, lift=1.3266666666666664), OrderedStatistic(items_base=frozenset({'Web Gray'}), items_add=frozenset({'Black'}), confidence=0.5, lift=1.3266666666666667)]"
80,"frozenset({'Black', 'White'})",0.16834170854271358,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'White'}), confidence=0.16834170854271358, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'White'}), confidence=0.44666666666666666, lift=1.1395726495726497), OrderedStatistic(items_base=frozenset({'White'}), items_add=frozenset({'Black'}), confidence=0.4294871794871795, lift=1.1395726495726495)]"
81,"frozenset({'Black', 'White Smoke'})",0.032663316582914576,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black', 'White Smoke'}), confidence=0.032663316582914576, lift=1.0), OrderedStatistic(items_base=frozenset({'Black'}), items_add=frozenset({'White Smoke'}), confidence=0.08666666666666667, lift=1.231904761904762), OrderedStatistic(items_base=frozenset({'White Smoke'}), items_add=frozenset({'Black'}), confidence=0.4642857142857143, lift=1.2319047619047618)]"
82,"frozenset({'Cornflower Blue', 'White'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Cornflower Blue', 'White'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Cornflower Blue'}), items_add=frozenset({'White'}), confidence=0.7999999999999999, lift=2.041025641025641), OrderedStatistic(items_base=frozenset({'White'}), items_add=frozenset({'Cornflower Blue'}), confidence=0.025641025641025644, lift=2.0410256410256413)]"
83,"frozenset({'Crimson', 'White'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Crimson', 'White'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Crimson'}), items_add=frozenset({'White'}), confidence=0.5, lift=1.2756410256410258), OrderedStatistic(items_base=frozenset({'White'}), items_add=frozenset({'Crimson'}), confidence=0.032051282051282055, lift=1.2756410256410258)]"
84,"frozenset({'Dark Gray', 'White'})",0.02512562814070352,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Gray', 'White'}), confidence=0.02512562814070352, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Gray'}), items_add=frozenset({'White'}), confidence=0.625, lift=1.5945512820512822), OrderedStatistic(items_base=frozenset({'White'}), items_add=frozenset({'Dark Gray'}), confidence=0.06410256410256411, lift=1.5945512820512822)]"
85,"frozenset({'Dark Slate Blue', 'Dim Gray'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Slate Blue', 'Dim Gray'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Dim Gray'}), confidence=0.11904761904761905, lift=0.8460884353741497), OrderedStatistic(items_base=frozenset({'Dim Gray'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.08928571428571429, lift=0.8460884353741497)]"
86,"frozenset({'Ghost White', 'Dark Slate Blue'})",0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Ghost White', 'Dark Slate Blue'}), confidence=0.01256281407035176, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Ghost White'}), confidence=0.11904761904761905, lift=2.6322751322751325), OrderedStatistic(items_base=frozenset({'Ghost White'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.2777777777777778, lift=2.6322751322751325)]"
87,"frozenset({'Lavender', 'Dark Slate Blue'})",0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Lavender', 'Dark Slate Blue'}), confidence=0.01507537688442211, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Lavender'}), confidence=0.14285714285714285, lift=2.030612244897959), OrderedStatistic(items_base=frozenset({'Lavender'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.21428571428571427, lift=2.030612244897959)]"
88,"frozenset({'Maroon', 'Dark Slate Blue'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Maroon', 'Dark Slate Blue'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Maroon'}), confidence=0.09523809523809525, lift=1.8049886621315194), OrderedStatistic(items_base=frozenset({'Maroon'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.1904761904761905, lift=1.8049886621315194)]"
89,"frozenset({'Midnight Blue', 'Dark Slate Blue'})",0.022613065326633167,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Midnight Blue', 'Dark Slate Blue'}), confidence=0.022613065326633167, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Midnight Blue'}), confidence=0.2142857142857143, lift=1.5229591836734695), OrderedStatistic(items_base=frozenset({'Midnight Blue'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.16071428571428573, lift=1.5229591836734695)]"
90,"frozenset({'Sienna', 'Dark Slate Blue'})",0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Sienna', 'Dark Slate Blue'}), confidence=0.010050251256281407, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Sienna'}), confidence=0.09523809523809525, lift=2.9157509157509156), OrderedStatistic(items_base=frozenset({'Sienna'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.30769230769230765, lift=2.9157509157509156)]"
91,"frozenset({'Slate Gray', 'Dark Slate Blue'})",0.020100502512562814,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Slate Gray', 'Dark Slate Blue'}), confidence=0.020100502512562814, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'Slate Gray'}), confidence=0.1904761904761905, lift=1.052910052910053), OrderedStatistic(items_base=frozenset({'Slate Gray'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.1111111111111111, lift=1.0529100529100528)]"
92,"frozenset({'White', 'Dark Slate Blue'})",0.02512562814070352,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'White', 'Dark Slate Blue'}), confidence=0.02512562814070352, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Blue'}), items_add=frozenset({'White'}), confidence=0.2380952380952381, lift=0.6074481074481075), OrderedStatistic(items_base=frozenset({'White'}), items_add=frozenset({'Dark Slate Blue'}), confidence=0.06410256410256411, lift=0.6074481074481075)]"
93,"frozenset({'Slate Gray', 'Dark Slate Gray'})",0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Slate Gray', 'Dark Slate Gray'}), confidence=0.01507537688442211, lift=1.0), OrderedStatistic(items_base=frozenset({'Dark Slate Gray'}), items_add=frozenset({'Slate Gray'}), confidence=0.21428571428571427, lift=1.1845238095238093), OrderedStatistic(items_base=frozenset({'Slate Gray'}), items_add=frozenset({'Dark Slate Gray'}), confidence=0.08333333333333333, lift=1.1845238095238095)]"
